Date,Product,Category,Price,Quantity,Discount,Sales,Region,Customer_Type,Payment_Method,Rating
2023-02-14,Bookcase,Furniture,8500,16,8,125120,West,Corporate,Debit Card,3.6
2023-02-14,Smart Speaker,Electronics,8500,6,5,48450,South,Retail,Credit Card,4.4
2023-02-14,Scissors Set,Stationery,90,25,5,2138,West,Retail,Credit Card,4.1
2023-02-14,Marker Set,Stationery,200,92,8,16928,East,Corporate,UPI,3.7
2023-02-15,Laptop Air 13,Electronics,72000,4,0,288000,East,Corporate,Net Banking,4.4
2023-02-15,L-Shape Desk,Furniture,20000,1,8,18400,North,Retail,Cash,4.1
2023-02-16,Scissors Set,Stationery,90,149,0,13410,South,Corporate,Debit Card,4.2
2023-02-16,Highlighter Set,Stationery,120,172,0,20640,North,Retail,Credit Card,4.1
2023-02-16,Microphone USB,Electronics,6500,9,15,49725,North,Retail,Credit Card,4.5
2023-02-17,Ergonomic Chair,Furniture,18000,15,5,256500,East,Retail,Credit Card,4.2
2023-02-17,Smart Speaker,Electronics,8500,6,0,51000,East,Retail,UPI,4.4
2023-02-17,Planner Annual,Stationery,450,50,0,22500,South,Retail,Cash,3.5
2023-02-18,USB Hub,Electronics,2200,5,10,9900,South,Corporate,UPI,3.9
2023-02-18,Study Table,Furniture,7800,7,5,51870,North,Retail,UPI,4.3
2023-02-19,Monitor 32inch,Electronics,45000,11,10,445500,North,Corporate,Net Banking,3.7
2023-02-19,Monthly Planner,Stationery,420,222,15,79254,West,Corporate,UPI,3.8
2023-02-20,Sticky Notes,Stationery,80,140,10,10080,West,Retail,UPI,4.1
2023-02-20,Bluetooth Speaker,Electronics,3500,8,8,25760,East,Retail,Debit Card,4.1
2023-02-20,Recliner Chair,Furniture,35000,14,15,416500,East,Corporate,Credit Card,4.1
2023-02-20,Mesh Chair,Furniture,14500,2,5,27550,West,Corporate,Credit Card,3.8
2023-02-20,Monitor 32inch,Electronics,45000,11,0,495000,South,Retail,UPI,3.6
2023-02-20,Wooden Desk,Furniture,15000,6,15,76500,West,Corporate,UPI,3.6
2023-02-21,Sticky Notes,Stationery,80,199,5,15124,South,Retail,Cash,4.6
2023-02-22,Smart Speaker,Electronics,8500,7,5,56525,North,Corporate,Credit Card,3.7
2023-02-22,Mesh Chair,Furniture,14500,13,0,188500,East,Corporate,Credit Card,4.5
2023-02-22,Drawing Pad,Stationery,180,269,12,42610,West,Retail,Credit Card,4.8
2023-02-22,Platform Bed,Furniture,28000,3,3,81480,West,Corporate,Debit Card,4.2
2023-02-23,Sofa Set Office,Furniture,55000,14,5,731500,North,Retail,Debit Card,4.3
2023-02-23,Notebook Pack,Stationery,250,25,8,5750,South,Corporate,Debit Card,3.9
2023-02-24,Sketchbook A3,Stationery,550,298,15,139315,North,Retail,Cash,4.3
2023-02-24,Binding Machine,Stationery,8500,144,0,1224000,West,Corporate,UPI,4.7
2023-02-24,Bedside Table,Furniture,6500,3,5,18525,East,Corporate,UPI,4.9
2023-02-25,Notebook Leather,Stationery,600,51,0,30600,West,Retail,Cash,3.7
2023-02-25,Bar Cabinet,Furniture,32000,8,0,256000,West,Corporate,UPI,4.4
2023-02-25,Wardrobe 3-door,Furniture,32000,14,15,380800,West,Retail,Credit Card,4.9
2023-02-26,Monthly Planner,Stationery,420,187,0,78540,North,Retail,Debit Card,4.4
2023-02-26,Sticky Notes,Stationery,80,281,15,19108,West,Corporate,Debit Card,3.8
2023-02-26,Bluetooth Speaker,Electronics,3500,7,10,22050,South,Corporate,Cash,4.3
2023-02-27,Smart TV 55inch,Electronics,68000,5,3,329800,East,Retail,Credit Card,4.8
2023-02-27,Clipboard Set,Stationery,180,290,5,49590,North,Corporate,UPI,4.0
2023-02-27,Correction Pen,Stationery,60,204,0,12240,West,Retail,Debit Card,3.5
2023-02-27,Study Table,Furniture,7800,5,5,37050,North,Corporate,Credit Card,3.8
2023-02-28,Office Chair Deluxe,Furniture,12000,20,10,216000,East,Retail,Debit Card,3.5
2023-02-28,Laptop Air 13,Electronics,72000,3,10,194400,South,Retail,Credit Card,4.0
2023-02-28,Study Table,Furniture,7800,14,0,109200,West,Retail,Net Banking,4.0
2023-03-01,Desk Organizer,Stationery,800,278,0,222400,East,Corporate,Credit Card,4.2
2023-03-01,Laptop Air 13,Electronics,72000,8,0,576000,East,Corporate,Credit Card,4.7
2023-03-02,Bedside Table,Furniture,6500,5,0,32500,South,Corporate,UPI,4.7
2023-03-03,Dash Cam,Electronics,6000,8,0,48000,East,Retail,Credit Card,3.7
2023-03-03,Notebook Leather,Stationery,600,248,10,133920,North,Corporate,Debit Card,4.1
2023-03-03,Paper Cutter,Stationery,1200,221,0,265200,West,Corporate,Net Banking,4.5
2023-03-04,Tablet 10inch,Electronics,28000,14,0,392000,North,Corporate,UPI,4.2
2023-03-04,Pencil Set,Stationery,600,81,0,48600,East,Corporate,Credit Card,3.5
2023-03-05,Conference Table,Furniture,45000,11,0,495000,South,Corporate,Credit Card,4.2
2023-03-05,Marker Set,Stationery,200,266,3,51604,East,Retail,Debit Card,4.0
2023-03-05,Study Table,Furniture,7800,11,0,85800,East,Retail,Credit Card,3.6
2023-03-06,A4 Paper Ream,Stationery,400,275,0,110000,East,Retail,Credit Card,3.7
2023-03-06,Lounge Chair,Furniture,16000,11,0,176000,South,Retail,Debit Card,4.5
2023-03-06,Corner Desk,Furniture,18000,8,0,144000,South,Retail,Debit Card,4.9
2023-03-07,Study Table,Furniture,7800,20,10,140400,East,Corporate,UPI,3.7
2023-03-07,Stapler,Stationery,350,212,5,70490,East,Corporate,Credit Card,4.4
2023-03-07,Wardrobe 3-door,Furniture,32000,14,10,403200,North,Retail,UPI,4.5
2023-03-07,Bookshelf 5-tier,Furniture,6500,2,12,11440,East,Retail,Credit Card,4.7
2023-03-08,Pencil Set,Stationery,600,179,5,102030,South,Retail,Credit Card,4.8
2023-03-09,Laminator A4,Stationery,3500,143,15,425425,East,Corporate,Credit Card,3.8
2023-03-10,Air Purifier,Electronics,12000,3,0,36000,North,Corporate,Credit Card,3.8
2023-03-10,LED Desk Lamp,Electronics,2200,7,0,15400,South,Retail,Cash,4.6
2023-03-10,Projector HD,Electronics,55000,6,0,330000,East,Retail,Credit Card,3.9
2023-03-11,Binding Machine,Stationery,8500,100,15,722500,South,Retail,Debit Card,4.2
2023-03-11,Office Chair Deluxe,Furniture,12000,20,15,204000,West,Retail,Debit Card,4.6
2023-03-11,Bar Cabinet,Furniture,32000,3,15,81600,South,Corporate,UPI,4.1
2023-03-12,Sketchbook A3,Stationery,550,5,15,2338,South,Retail,Debit Card,3.8
2023-03-12,Wardrobe 3-door,Furniture,32000,7,0,224000,South,Retail,Debit Card,4.6
2023-03-13,Scissors Set,Stationery,90,2,8,166,West,Corporate,UPI,4.9
2023-03-14,Dash Cam,Electronics,6000,15,3,87300,West,Corporate,Debit Card,4.5
2023-03-14,Sticky Notes,Stationery,80,66,12,4646,East,Corporate,Credit Card,3.8
2023-03-15,Drawing Pad,Stationery,180,93,3,16238,East,Retail,Cash,3.7
2023-03-15,Bookshelf 5-tier,Furniture,6500,17,10,99450,South,Corporate,UPI,4.2
2023-03-16,TV Stand,Furniture,8500,13,15,93925,North,Retail,Credit Card,3.7
2023-03-17,Bookshelf 5-tier,Furniture,6500,15,0,97500,East,Retail,UPI,4.3
2023-03-17,Dresser,Furniture,20000,20,0,400000,North,Corporate,Debit Card,3.6
2023-03-18,Spiral Planner,Stationery,380,48,5,17328,West,Corporate,Debit Card,4.5
2023-03-18,L-Shape Desk,Furniture,20000,8,5,152000,East,Corporate,Debit Card,4.3
2023-03-18,Recliner Chair,Furniture,35000,1,8,32200,North,Corporate,UPI,4.7
2023-03-18,Correction Pen,Stationery,60,39,10,2106,East,Retail,Debit Card,3.5
2023-03-19,Platform Bed,Furniture,28000,18,0,504000,North,Corporate,Net Banking,4.9
2023-03-19,Pencil Set,Stationery,600,142,8,78384,East,Retail,Credit Card,3.6
2023-03-19,Sticky Notes,Stationery,80,286,0,22880,South,Corporate,UPI,4.2
2023-03-20,Reception Desk,Furniture,35000,8,10,252000,South,Retail,Credit Card,4.0
2023-03-20,Reception Desk,Furniture,35000,5,15,148750,East,Retail,Cash,3.5
2023-03-20,Keyboard Mechanical,Electronics,5500,5,0,27500,South,Retail,Credit Card,3.8
2023-03-20,Stapler,Stationery,350,94,0,32900,South,Retail,Cash,4.7
2023-03-20,Smart TV 55inch,Electronics,68000,2,12,119680,West,Retail,Credit Card,4.5
2023-03-20,External SSD 1TB,Electronics,6500,14,8,83720,South,Corporate,Debit Card,3.7
2023-03-20,Storage Bench,Furniture,10500,7,10,66150,East,Corporate,Debit Card,4.0
2023-03-20,Smart TV 43inch,Electronics,42000,8,3,325920,North,Retail,Cash,4.7
2023-03-20,Keyboard Mechanical,Electronics,5500,14,5,73150,North,Retail,Debit Card,3.6
2023-03-22,Recliner Chair,Furniture,35000,6,12,184800,East,Retail,Credit Card,4.0
2023-03-22,Desk Organizer,Stationery,800,178,0,142400,North,Retail,Credit Card,3.6
2023-03-22,Pen Set Luxury,Stationery,800,253,15,172040,North,Corporate,Cash,4.1
2023-03-22,Dash Cam,Electronics,6000,13,5,74100,East,Retail,Debit Card,4.8
2023-03-22,Sticky Notes,Stationery,80,119,3,9234,South,Corporate,Net Banking,4.3
2023-03-22,Calculator,Stationery,450,13,0,5850,West,Retail,Credit Card,4.5
2023-03-23,Paper Cutter,Stationery,1200,245,0,294000,West,Retail,Credit Card,4.1
2023-03-23,Tablet 10inch,Electronics,28000,5,0,140000,South,Corporate,UPI,3.6
2023-03-24,Drawing Pad,Stationery,180,67,5,11457,North,Corporate,Credit Card,4.3
2023-03-25,Pencil Set,Stationery,600,271,5,154470,North,Corporate,Credit Card,4.3
2023-03-25,Bedside Table,Furniture,6500,4,5,24700,West,Retail,Debit Card,4.5
2023-03-25,Dresser,Furniture,20000,16,10,288000,East,Corporate,Credit Card,3.6
2023-03-25,Scissors Set,Stationery,90,158,3,13793,South,Retail,Credit Card,4.6
2023-03-25,Monitor 27inch,Electronics,32000,12,0,384000,North,Retail,Cash,3.8
2023-03-26,Keyboard Mechanical,Electronics,5500,4,12,19360,South,Retail,Cash,4.0
2023-03-26,Highlighter Set,Stationery,120,204,12,21542,South,Corporate,Cash,3.8
2023-03-26,Monitor 27inch,Electronics,32000,2,0,64000,South,Retail,Debit Card,3.6
2023-03-27,Monitor 27inch,Electronics,32000,5,8,147200,North,Retail,Cash,4.2
2023-03-27,Projector HD,Electronics,55000,3,3,160050,West,Corporate,Credit Card,4.1
2023-03-27,Bookshelf 5-tier,Furniture,6500,19,0,123500,North,Corporate,Debit Card,4.7
2023-03-28,Spiral Planner,Stationery,380,287,3,105788,South,Retail,Credit Card,3.9
2023-03-28,Visitor Chair,Furniture,4500,17,5,72675,South,Corporate,Debit Card,4.4
2023-03-28,Sofa Set Office,Furniture,55000,7,0,385000,West,Retail,Debit Card,3.6
2023-03-29,Air Purifier,Electronics,12000,12,0,144000,East,Retail,Credit Card,4.7
2023-03-29,Planner Annual,Stationery,450,197,12,78012,South,Retail,UPI,3.6
2023-03-29,Wireless Mouse,Electronics,1500,7,8,9660,North,Corporate,Credit Card,5.0
2023-03-29,Smart TV 43inch,Electronics,42000,3,5,119700,West,Corporate,UPI,4.6
2023-03-29,Dash Cam,Electronics,6000,1,8,5520,East,Corporate,Cash,3.6
2023-03-30,Panel Bed,Furniture,32000,13,5,395200,West,Retail,UPI,4.3
2023-03-30,Wireless Earbuds,Electronics,4500,10,0,45000,South,Corporate,Credit Card,4.1
2023-03-30,Keyboard Mechanical,Electronics,5500,3,5,15675,South,Corporate,Debit Card,4.9
2023-03-31,Laptop Air 13,Electronics,72000,3,5,205200,North,Corporate,Net Banking,4.1
2023-03-31,Ruler Set,Stationery,50,18,0,900,North,Retail,Debit Card,4.3
2023-03-31,Conference Table,Furniture,45000,15,5,641250,South,Retail,Credit Card,3.9
2023-03-31,Laptop Pro 15,Electronics,85000,12,0,1020000,East,Corporate,Credit Card,4.4
2023-04-01,Pen Set Luxury,Stationery,800,172,10,123840,North,Retail,Credit Card,4.5
2023-04-01,Laminator A4,Stationery,3500,155,5,515375,West,Corporate,UPI,3.8
2023-04-01,Power Bank,Electronics,2800,3,10,7560,North,Retail,Net Banking,3.8
2023-04-02,Keyboard Mechanical,Electronics,5500,8,0,44000,East,Corporate,Credit Card,4.5
2023-04-02,Notebook Leather,Stationery,600,146,8,80592,West,Corporate,Credit Card,4.5
2023-04-02,Smart Speaker,Electronics,8500,10,5,80750,South,Retail,UPI,4.9
2023-04-02,Printer Laser,Electronics,18000,3,0,54000,East,Corporate,Credit Card,4.5
2023-04-03,Smart Plug,Electronics,2200,12,5,25080,East,Retail,Credit Card,4.3
2023-04-03,Platform Bed,Furniture,28000,5,5,133000,West,Retail,Credit Card,3.5
2023-04-03,Calculator,Stationery,450,161,15,61582,West,Corporate,Cash,3.8
2023-04-04,Corner Desk,Furniture,18000,14,5,239400,East,Corporate,Cash,4.0
2023-04-04,Scissors Set,Stationery,90,183,8,15152,North,Retail,Credit Card,5.0
2023-04-04,Art Markers,Stationery,900,199,0,179100,East,Retail,Debit Card,4.2
2023-04-04,Webcam HD,Electronics,5500,1,0,5500,East,Corporate,UPI,3.6
2023-04-05,Calculator,Stationery,450,65,3,28372,West,Corporate,Credit Card,3.8
2023-04-05,Bookshelf 5-tier,Furniture,6500,13,3,81965,East,Corporate,Net Banking,4.4
2023-04-06,Bar Cabinet,Furniture,32000,9,5,273600,West,Retail,Credit Card,3.5
2023-04-06,Pencil Set,Stationery,600,184,0,110400,West,Corporate,Net Banking,4.7
2023-04-06,Correction Pen,Stationery,60,129,0,7740,East,Corporate,Credit Card,4.4
2023-04-06,Webcam HD,Electronics,5500,1,15,4675,South,Corporate,UPI,4.3
2023-04-07,Microphone USB,Electronics,6500,3,10,17550,West,Retail,Credit Card,4.2
2023-04-07,Display Cabinet,Furniture,19000,13,8,227240,West,Retail,Credit Card,4.0
2023-04-07,Notebook Pack,Stationery,250,55,10,12375,North,Retail,Cash,4.1
2023-04-08,Calculator,Stationery,450,145,15,55462,North,Corporate,Credit Card,3.8
2023-04-09,Highlighter Set,Stationery,120,86,0,10320,West,Corporate,Cash,4.0
2023-04-09,A4 Paper Ream,Stationery,400,256,10,92160,East,Corporate,Net Banking,4.7
2023-04-09,Filing Cabinet,Furniture,8500,11,0,93500,West,Retail,Cash,4.7
2023-04-09,Corner Desk,Furniture,18000,6,8,99360,East,Retail,Credit Card,3.9
2023-04-09,Pen Set Luxury,Stationery,800,217,3,168392,North,Corporate,Credit Card,4.0
2023-04-10,Graphics Card,Electronics,28000,6,12,147840,West,Corporate,UPI,4.8
2023-04-10,Wireless Earbuds,Electronics,4500,13,15,49725,North,Retail,Debit Card,3.7
2023-04-10,Monthly Planner,Stationery,420,80,15,28560,East,Corporate,Cash,4.6
2023-04-11,Microphone USB,Electronics,6500,10,10,58500,East,Retail,Credit Card,4.5
2023-04-11,Lounge Chair,Furniture,16000,19,8,279680,West,Corporate,UPI,4.4
2023-04-11,A4 Paper Ream,Stationery,400,229,5,87020,South,Retail,Credit Card,3.6
2023-04-11,Mesh Chair,Furniture,14500,8,0,116000,North,Retail,Net Banking,3.7
2023-04-12,Correction Pen,Stationery,60,279,5,15903,North,Retail,Credit Card,5.0
2023-04-12,Smart Speaker,Electronics,8500,6,5,48450,South,Corporate,Cash,4.2
2023-04-12,Wooden Desk,Furniture,15000,6,0,90000,East,Retail,Debit Card,3.8
2023-04-13,Projector HD,Electronics,55000,4,12,193600,East,Corporate,Net Banking,4.8
2023-04-13,Recliner Chair,Furniture,35000,3,3,101850,East,Retail,Debit Card,4.4
2023-04-13,Printer Laser,Electronics,18000,14,8,231840,South,Corporate,UPI,4.8
2023-04-13,Drawing Pad,Stationery,180,189,5,32319,West,Retail,UPI,3.7
2023-04-13,Sketchbook A3,Stationery,550,111,15,51892,West,Retail,UPI,4.4
2023-04-13,External SSD 1TB,Electronics,6500,2,0,13000,North,Corporate,Cash,4.8
2023-04-14,Air Purifier,Electronics,12000,11,0,132000,West,Corporate,Credit Card,3.8
2023-04-14,Microphone USB,Electronics,6500,12,12,68640,East,Corporate,Credit Card,3.8
2023-04-15,Power Bank,Electronics,2800,2,5,5320,East,Retail,Cash,4.6
2023-04-15,Monitor 27inch,Electronics,32000,3,8,88320,West,Retail,Credit Card,3.6
2023-04-16,Corner Desk,Furniture,18000,10,0,180000,West,Corporate,UPI,4.5
2023-04-17,Smart TV 55inch,Electronics,68000,4,8,250240,West,Corporate,Net Banking,3.7
2023-04-17,Smart Speaker,Electronics,8500,1,15,7225,West,Corporate,Debit Card,4.6
2023-04-17,Storage Bench,Furniture,10500,16,15,142800,West,Retail,Debit Card,4.7
2023-04-19,Smart TV 43inch,Electronics,42000,10,15,357000,South,Corporate,Cash,4.1
2023-04-19,Platform Bed,Furniture,28000,3,5,79800,North,Retail,Cash,3.5
2023-04-20,Monitor 27inch,Electronics,32000,3,5,91200,North,Corporate,UPI,3.9
2023-04-20,Bookshelf 5-tier,Furniture,6500,19,12,108680,South,Corporate,Credit Card,3.8
2023-04-20,Noise Cancel HP,Electronics,12000,5,5,57000,South,Corporate,UPI,5.0
2023-04-21,Filing Cabinet,Furniture,8500,5,0,42500,East,Retail,UPI,4.4
2023-04-22,Clipboard Set,Stationery,180,218,5,37278,East,Corporate,UPI,4.5
