Date,Product,Category,Price,Quantity,Discount,Sales,Region,Customer_Type
2024-11-12,Correction Pen,Stationery,60,300,0,18000,South,Retail
2024-11-15,TV Unit Furniture,Furniture,12000,4,5,45600,East,Retail
2024-11-18,SSD Internal,Electronics,5500,20,5,104500,West,Corporate
2024-11-22,Label Maker,Stationery,1200,40,0,48000,North,Corporate
2024-11-25,Gaming Desk,Furniture,24000,3,8,66240,South,Retail
2024-11-28,Smartwatch Pro,Electronics,22000,5,5,104500,East,Corporate
2024-12-02,Laptop Air,Electronics,72000,6,10,388800,West,Corporate
2024-12-05,Recliner Chair,Furniture,35000,2,5,66500,North,Corporate
2024-12-08,Laptop Pro,Electronics,85000,7,12,523600,South,Corporate
2024-12-12,Pen Holder,Stationery,200,150,0,30000,East,Retail
2024-12-15,Display Cabinet,Furniture,19000,3,5,54150,West,Retail
2024-12-18,Smart Ring,Electronics,8500,12,3,98940,North,Corporate
2024-12-22,Notepad Premium,Stationery,500,100,5,47500,South,Retail
2024-12-25,Laptop Pro,Electronics,85000,8,15,578000,East,Corporate
2024-12-28,Office Plant Stand,Furniture,2500,20,0,50000,West,Retail
2024-12-30,Wireless Earbuds,Electronics,4500,25,5,106875,North,Retail
